#MOVIEID;TITEL;GENRE;RELEASEYEAR;METADATA;RUNNINGTIMEINMIN;DIRECTORS;ACTORS;SCREENWRITERS
739100ba-f611-4355-9975-a6ccc1569890;12 Angry Men;Drama;1957;317b5174-f3d1-4690-9038-3e205522c773;96;dca9d317-946e-4b5c-b586-edb3bc7cf566;08d97acb-65d9-4417-b058-24a8e73b07e2,6f55195f-5c68-4b1d-bb56-97a9d5b244fa; 
d2193c8f-76b4-44db-bad5-fc93a80e2aae;The Dark Knight;Action;2008;c96b5efe-b625-4374-a17b-2185ac2629fb;152;7c6024a2-78e3-4716-9760-6c828eb77835; ; 
c22158ae-32eb-442f-a5ec-129a81497856;Fight Club;Drama;1999;e7864168-437f-46fa-9008-2fb8d52afdc0;139; ; ; 
